Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS006,0,Left Knee Flexion,27,3,2,EEG27,ESG3,EMG2,0.0008946801535785,0.0012063245521858,1.0792746356151606e-06,T8,L1L2-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,27,0,2,EEG27,ESG0,EMG2,0.0008647989598102,0.0011660347227007,1.0083856152942546e-06,T8,T10T11-L,L-RF,no,YES
NIS006,0,Left Knee Flexion,11,2,2,EEG11,ESG2,EMG2,0.0006291776080615,0.001557916868478,9.802064088678156e-07,C1,T12L1-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,24,2,2,EEG24,ESG2,EMG2,0.0005844715051352,0.001557916868478,9.105580169950412e-07,PO4,T12L1-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,25,2,2,EEG25,ESG2,EMG2,0.0005694006686098,0.001557916868478,8.870789065500292e-07,T7,T12L1-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,2,2,2,EEG2,ESG2,EMG2,0.0005252064438536,0.001557916868478,8.182279783130173e-07,Fp2,T12L1-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,8,2,2,EEG8,ESG2,EMG2,0.0005236742435954,0.001557916868478,8.158409376848419e-07,FC4,T12L1-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,12,2,2,EEG12,ESG2,EMG2,0.0004970912705175,0.001557916868478,7.744268755124938e-07,Cz,T12L1-L,L-RF,YES,YES
NIS006,0,Left Knee Flexion,3,2,2,EEG3,ESG2,EMG2,0.0004900034400634,0.001557916868478,7.633846248871216e-07,F3,T12L1-L,L-RF,YES,YES
NIS006,1,Left Plantar Flexion,0,12,1,EEG0,ESG12,EMG1,0.0005591011140495,0.0014992461074143,8.382301688898285e-07,Fp1,T12L1-R,R-MH,no,no
